FIPS code,CBSA 2012 pop,County 2012 pop,2013 code
21071,.,38949,6
21073,71532,49804,5
21075,37865,6525,5
21077,2128603,8479,2
21079,.,16913,6
21081,2128603,24485,2
21083,37544,37544,5
21085,.,25964,6
21087,.,11315,6
21089,364665,36707,3
21091,116030,8677,4
21093,150413,107025,4
21095,.,28543,6
21097,.,18624,6
21099,.,18366,6
21101,313433,46513,3
21103,1251351,15318,2
21105,.,4754,6
21107,46718,46718,5
21109,.,13331,6
21111,1251351,750828,1
21113,485023,49635,3
21115,.,23383,6
21117,2128603,161711,2
21119,.,16124,6
21121,126696,31735,5
21123,150413,14151,4
21125,126696,59462,5
21127,.,15848,6
21129,.,7706,6
21131,.,11170,6
21133,.,23952,6
21135,.,13835,6
21137,53119,24461,5
21139,98539,9423,5
21141,.,26646,6
21143,.,8351,6
21145,98539,65549,5
21147,.,18069,6
21149,116030,9506,4
21151,101792,84786,5
21153,.,13041,6
21155,.,20090,6
21157,.,31344,6
21159,.,12743,6
21161,17512,17512,5
21163,150413,29237,4
21165,44924,6220,5
21167,.,21261,6
21169,52600,9969,5
21171,.,10821,6
21173,44924,26902,5
21175,.,13668,6
21177,.,31181,6
21179,44319,44319,5
21181,.,7000,6
21183,.,24075,6
21185,1251351,61412,2
21187,.,10765,6
21189,.,4722,6
21191,2128603,14604,2
21193,.,28241,6
21195,.,64178,6
21197,.,12483,6
21199,63593,63593,5
21201,.,2188,6
21203,101792,17006,5
21205,.,23447,6
21207,.,17497,6
21209,485023,49057,3
21211,1251351,43614,2
21213,.,17538,6
21215,1251351,17416,2
21217,24691,24691,5
21219,.,12651,6
21221,274342,14447,3
21223,1251351,8787,2
21225,.,14850,6
21227,162231,117110,4
21229,.,11833,6
21231,.,20824,6
21233,.,13583,6
21235,126696,35499,5
21237,.,7164,6
21239,485023,25077,3
22001,474415,61912,3
22003,.,25539,6
22005,815298,112286,3
22007,.,23026,6
22009,.,41632,6
22011,36281,36281,5
22013,.,14076,6
22015,447193,122197,3
22017,447193,257093,3
22019,201195,194493,4
22021,.,10004,6
22023,201195,6702,4
22025,.,10292,6
22027,.,16828,6
22029,52487,20365,5
22031,447193,26963,3
22033,815298,444526,3
22035,.,7526,6
22037,815298,20008,3
22039,.,33710,6
22041,.,20561,6
22043,154441,22068,4
22045,474415,73999,3
22047,815298,33228,3
22049,.,16216,6
22051,1227096,433676,2
22053,.,31432,6
22055,474415,227055,3
22057,208922,97029,4
22059,.,14927,6
22061,46953,46953,5
22063,815298,131942,3
22065,.,12154,6
22067,27559,27559,5
22069,39436,39436,5
22071,1227096,369250,1
22073,177782,155363,4
22075,1227096,23921,2
22077,815298,22726,3
22079,154441,132373,4
22081,.,8983,6
22083,.,20921,6
22085,.,24325,6
22087,1227096,41635,2
22089,1227096,52681,2
22091,815298,11071,3
22093,1227096,21722,2
22095,1227096,44758,2
22097,83662,83662,5
22099,474415,52726,3
22101,53697,53697,5
22103,1227096,239453,2
22105,123441,123441,4
22107,.,4954,6
22109,208922,111893,4
22111,177782,22419,4
22113,474415,58723,3
22115,53869,53869,5
22117,46670,46670,5
22119,447193,40940,3
22121,815298,24106,3
22123,.,11512,6
22125,815298,15405,3
22127,.,15000,6
23001,107609,107609,4
23003,.,70868,6
23005,518117,283921,3
23007,.,30630,6
23009,.,54558,6
23011,121853,121853,5
23013,.,39668,6
23015,.,34180,6
23017,.,57481,6
23019,153746,153746,4
23021,.,17290,6
23023,518117,35191,3
23025,.,51910,6
23027,.,38820,6
23029,.,32462,6
23031,518117,199005,3
24001,101968,74012,4
24003,2753149,550488,2
24005,2753149,817455,2
24009,-WV        5860342,89628,2
24011,.,32718,6
24013,2753149,167217,2
24015,MD         6018800,101696,2
24017,-WV        5860342,150592,2
24019,32551,32551,5
24021,-WV        5860342,239582,2
24023,.,29854,6
24025,2753149,248622,2
24027,2753149,299430,2
24029,.,20191,6
24031,-WV        5860342,1004709,2
24033,-WV        5860342,881138,2
24035,2753149,48595,2
24037,108987,108987,4
24039,381868,26253,3
24041,38098,38098,5
24043,256278,149180,3
24045,381868,100647,3
24047,381868,51578,3
24510,2753149,621342,1
25001,215423,215423,4
25003,130016,130016,4
25005,1601374,551082,2
25007,17041,17041,5
25009,4640802,755618,2
25011,71540,71540,5
25013,625718,465923,3
25015,625718,159795,3
25017,4640802,1537215,2
25019,.,10298,6
25021,4640802,681845,2
25023,4640802,499759,2
25025,4640802,744426,1
25027,923762,806163,3
26001,.,10635,6
26003,.,9541,6
26005,112039,112039,5
26007,29234,29234,5
26009,.,23406,6
26011,.,15477,6
26013,.,8683,6
26015,1005648,58990,2
26017,106935,106935,4
26019,145283,17465,5
26021,156067,156067,4
26023,43868,43868,5
26025,135099,135099,4
26027,318586,52242,3
26029,.,26023,6
26031,.,25835,6
26033,38917,38917,5
26035,.,30753,6
26037,465732,76001,3
26039,.,14009,6
26041,36884,36884,5
26043,30702,26220,5
26045,465732,108008,3
26047,.,32915,6
26049,418408,418408,3
26051,.,25484,6
26053,.,16084,6
26055,145283,89112,5
26057,42063,42063,5
26059,46229,46229,5
26061,38735,36520,5
26063,.,32463,6
26065,465732,281723,3
26067,63941,63941,5
26069,.,25357,6
26071,.,11587,6
26073,70617,70617,5
26075,160309,160309,4
26077,330034,254580,3
26079,145283,17099,5
26081,1005648,614462,1
26083,38735,2215,5
26085,.,11498,6
26087,4292060,88173,2
26089,145283,21607,5
26091,98987,98987,5
26093,4292060,182838,2
26095,.,6522,6
26097,.,11137,6
26099,4292060,847383,2
26101,.,24672,6
26103,67906,67906,5
26105,28680,28680,5
