countyFIPS,PopulationEstimate2018,Rural-UrbanContinuumCode2013,increase,increase_scaled
9013,150921,1,15.025901814733857,99.56137194117358
9015,117027,2,0.16894354239539755,1.4436287557178904
10001,178550,3,3.317500226750017,18.580230897507793
10003,559335,1,13.205439156599297,23.609177249053424
10005,229286,2,13.18782794646328,57.51693494789599
12001,269956,2,1.7211378459252114,6.375623605051236
12003,28355,1,-8.881784197001252e-16,-3.132352035620262e-14
12005,185287,3,0.15722933744677547,0.8485718773943961
12007,27732,6,0.08275948798482213,2.9842596273194193
12009,596849,2,3.2043554456340377,5.368787491700644
12011,1951260,1,60.18347524344995,30.843391061903567
12015,184998,3,1.5878788050895523,8.583221467743178
12017,147929,3,0.09613012893441741,0.6498396456030758
12021,378488,2,7.827918756960763,20.682079106763656
